Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDETC020775,,,,,,
Configuration Name,Aborted,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,12-06-2026_14-31-55,,,,,,
Operator,Admin,,,,,,
DUT,1,,,,,,
Cycle time,166.31,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.50
Power Lines Impedance check,Read RES TP19-TP3,5.00,250.45,Inf,Pass,Kohm,6.83
Power Lines Impedance check,Config DAQ(3),,,,,,1.50
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,45.81,Inf,Pass,Kohm,7.00
Power Lines Impedance check,Config DAQ(5),,,,,,1.50
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,292.42,Inf,Pass,Kohm,7.00
Power Lines Impedance check,Config DAQ(7),,,,,,1.50
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,3.90,Inf,Pass,Kohm,7.00
J9 impedence check,Config DAQ(11),,,,,,1.50
J9 impedence check,Read_RES_TP48-TP41,117.00,121.86,123.00,Pass,ohm,6.80
Power up,Set_14_PS1,,,,,,1.50
Power up,Set_14V_ps_to 3A,,,,,,1.50
Power up,Turn ON +14V & GND Relays,,,,,,1.00
Power up,Turn_on_14VPS,,,,,,0.70
Power up,Config DAQ(18),,,,,,1.50
Power up,Read_VOL_TP66-TP3,2.45,2.70,2.80,Pass,V,6.60
Voltage Measurements,Config DAQ(21),,,,,,1.50
Voltage Measurements,Read_VOL_TP02-TP03,4.90,5.08,5.20,Pass,V,7.00
Voltage Measurements,Config DAQ(19),,,,,,1.50
Voltage Measurements,Read_VOL_TP19-TP3,13.90,13.99,14.10,Pass,V,6.79
Voltage Measurements,Config_DAQ(22),,,,,,1.50
Voltage Measurements,Read_VOL_TP7-TP9,3.70,3.83,3.90,Pass,V,7.00
Voltage Measurements,Config DAQ(23),,,,,,1.50
Voltage Measurements,Read_VOL_TP12-TP13,2.90,3.07,3.10,Pass,V,7.00
MCU Software Flash,Flash Software,,PASS,,Pass,,6.34
MCU Software Flash,Power_CYCLE(1),,,,,,1.00
MCU Software Flash,Off_14V(1),,,,,,1.50
MCU Software Flash,On_Power_cycle(1),,,,,,1.00
MCU Software Flash,On_14V(1),,,,,,5.50
S.No_write and read,Write_Barcode,,,,,,2.60
S.No_write and read,Read_barcode_STATUS,, 62 1,,Pass,,5.50
S.No_write and read,Power14Voff(1),,,,,,2.50
S.No_write and read,Poweron14V(1),,,,,,2.50
S.No_write and read,Send_Request_Barcode,,,,,,1.50
S.No_write and read,Read_barcode_written,,BDDETC020775,,Pass,,6.50
S.No_write and read,Write RX_RY_check,,,,,,2.50
Pre-Flash Neoway,SET_USB_RELAY,,,,,,1.00
Pre-Flash Neoway,Set Boot mode,,,,,,5.50
Pre-Flash Neoway,Set_to_boot_mode,,,,,,5.50
Neoway Flashing,Set_USB_relay_on,,,,,,1.00
