Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDFTC024979,,,,,,
Configuration Name,Aborted,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,22-06-2026_20-24-57,,,,,,
Operator,Admin,,,,,,
DUT,2,,,,,,
Cycle time,78.48,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.54
Power Lines Impedance check,Read RES TP19-TP3,5.00,250.17,Inf,Pass,Kohm,8.28
Power Lines Impedance check,Config DAQ(3),,,,,,1.54
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,47.12,Inf,Pass,Kohm,8.28
Power Lines Impedance check,Config DAQ(5),,,,,,1.54
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,283.72,Inf,Pass,Kohm,8.28
Power Lines Impedance check,Config DAQ(7),,,,,,1.54
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,4.18,Inf,Pass,Kohm,6.78
J9 impedence check,Config DAQ(11),,,,,,1.54
J9 impedence check,Read_RES_TP48-TP41,117.00,121.92,123.00,Pass,ohm,6.78
Power up,Set_14_PS1,,,,,,1.54
Power up,Set_14V_ps_to 3A,,,,,,1.54
Power up,Turn ON +14V & GND Relays,,,,,,1.54
Power up,Turn_on_14VPS,,,,,,0.74
Power up,Config DAQ(18),,,,,,1.54
Power up,Read_VOL_TP66-TP3,2.45,2.70,2.80,Pass,V,6.68
Voltage Measurements,Config DAQ(21),,,,,,1.54
Voltage Measurements,Read_VOL_TP02-TP03,4.90,5.10,5.20,Pass,V,7.03
Voltage Measurements,Config DAQ(19),,,,,,1.54
