Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDFTC024979,,,,,,
Configuration Name,DTU_FCT_RX_RY2,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,22-06-2026_20-10-44,,,,,,
Operator,Admin,,,,,,
DUT,2,,,,,,
Cycle time,130.05,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.54
Power Lines Impedance check,Read RES TP19-TP3,5.00,247.57,Inf,Pass,Kohm,6.79
Power Lines Impedance check,Config DAQ(3),,,,,,1.54
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,47.21,Inf,Pass,Kohm,8.42
Power Lines Impedance check,Config DAQ(5),,,,,,1.54
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,283.49,Inf,Pass,Kohm,8.42
Power Lines Impedance check,Config DAQ(7),,,,,,1.54
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,4.07,Inf,Pass,Kohm,6.92
J9 impedence check,Config DAQ(11),,,,,,1.54
J9 impedence check,Read_RES_TP48-TP41,117.00,121.91,123.00,Pass,ohm,6.78
Power up,Set_14_PS1,,,,,,1.54
Power up,Set_14V_ps_to 3A,,,,,,1.54
Power up,Turn ON +14V & GND Relays,,,,,,1.53
Power up,Turn_on_14VPS,,,,,,0.74
Power up,Config DAQ(18),,,,,,1.54
Power up,Read_VOL_TP66-TP3,2.45,2.69,2.80,Pass,V,6.71
Voltage Measurements,Config DAQ(21),,,,,,1.54
Voltage Measurements,Read_VOL_TP02-TP03,4.90,5.10,5.20,Pass,V,11.53
Voltage Measurements,Config DAQ(19),,,,,,1.54
Voltage Measurements,Read_VOL_TP19-TP3,13.90,13.99,14.10,Pass,V,8.13
Voltage Measurements,Config_DAQ(22),,,,,,1.54
Voltage Measurements,Read_VOL_TP7-TP9,3.70,3.84,3.90,Pass,V,8.39
Voltage Measurements,Config DAQ(23),,,,,,1.54
Voltage Measurements,Read_VOL_TP12-TP13,2.90,3.01,3.10,Pass,V,8.42
MCU Software Flash,Flash Software,,PASS,,Pass,,5.93
MCU Software Flash,Power_CYCLE(1),,,,,,1.54
MCU Software Flash,Off_14V(1),,,,,,1.54
MCU Software Flash,On_Power_cycle(1),,,,,,1.53
MCU Software Flash,On_14V(1),,,,,,5.54
S.No_write and read,Write_Barcode,,,,,,2.64
S.No_write and read,Read_barcode_STATUS,, 1 0,,Fail,,5.54
