Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,
,,,,,,
Summary,,,,,,
Serial Number,BDDETC019739,,,,,
Configuration Name,Aborted,,,,,
River EOL Doc version,,,,,,
Date,28-07-2026_16-01-27,,,,,
Operator,Admin,,,,,
DUT,1,,,,,
Cycle time,168.30,,,,,
Overall Results,Fail,,,,,
,,,,,,
Results,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT
Signal connector J9 impedence check,Config_DMM_RES,,,,,
Signal connector J9 impedence check,Turn_ON CAN_H & CAN_L Relays,,,,,
Signal connector J9 impedence check,Read RES CAN_H & CAN_L,117.00,121.25,123.00,Pass,ohm
Signal connector J9 impedence check,Turn OFF CAN_H & CAN_L Relays,,,,,
Power ON Test,Set_14V_PS,,,,,
Power ON Test,Turn ON 14V & GND Relays,,,,,
Power ON Test,Set_14V_ON,,,,,
Power ON Test,Check_RX_RY_board,,RX,,Pass,
Power ON Test,Send  0x4402 on CAN ID 0x26B,,,,,
Power ON Test,Read_CAN_ID_0x405,,1,,Pass,
Serial Number Write and Read,Get_DTU Serial Number,,,,,
Serial Number Write and Read,Read Serial Number,,BDDETC019739,,Pass,
Highbeam Indicator Check,Set_12V_PS,,,,,
Highbeam Indicator Check,ON_12V,,,,,
Highbeam Indicator Check,Turn ON HB_IND Relay,,,,,
Highbeam Indicator Check,Read_can_0X405(2),,1,,Pass,
Highbeam Indicator Check,Turn OFF HB_IND Relay,,,,,
Highbeam Indicator Check,Read_CAN_ID_0x405_(2),,0,,Pass,
Highbeam Indicator Check,Write_CAN_GPS,,,,,
Left Indicator Check,Turn ON L_IND Relay,,,,,
Left Indicator Check,Read_CAN_ID_0x405_(3),,1,,Pass,
Left Indicator Check,Turn OFF L_IND Relay,,,,,
Left Indicator Check,Read_CAN_ID_0x405_(4),,0,,Pass,
Right Indicator Check,Turn ON R_IND Relay,,,,,
Right Indicator Check,Read_CAN_ID_0x405_(5),,1,,Pass,
Right Indicator Check,Turn OFF R_IND Relay,,,,,
Right Indicator Check,Read_CAN_ID_0x405_(6),,0,,Pass,
Tactile Switch Check,Press SW1,,,,,
Tactile Switch Check,Read_SW_`manual,,Pass,,Pass,
Tactile Switch Check,Release SW1,,,,,
Bluetooth Check,Turn_On_Display_again,,,,,
Bluetooth Check,Start Bluetooth Pairing,,,,,
Bluetooth Check,Read pairing status,,CONNECTED,,Pass,
Bluetooth Check,,,,,,
Temperature Sensor Check,Get Temp Chk Msg,,,,,
Temperature Sensor Check,Read Temp,,31.02,,Pass,
Active Current Check,Again on all segments,,,,,
Active Current Check,Read Active Current,180.00,247.00,1200.00,Pass,mA
