Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDETC020408,,,,,,
Configuration Name,DTU_FCT_RX_RY2,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,26-06-2026_07-12-46,,,,,,
Operator,Amaljith_12571,,,,,,
DUT,1,,,,,,
Cycle time,48.51,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.54
Power Lines Impedance check,Read RES TP19-TP3,5.00,248.91,Inf,Pass,Kohm,6.78
Power Lines Impedance check,Config DAQ(3),,,,,,1.54
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,48.52,Inf,Pass,Kohm,8.28
Power Lines Impedance check,Config DAQ(5),,,,,,1.54
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,298.05,Inf,Pass,Kohm,8.36
Power Lines Impedance check,Config DAQ(7),,,,,,1.54
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,4.27,Inf,Pass,Kohm,8.42
J9 impedence check,Config DAQ(11),,,,,,1.54
J9 impedence check,Read_RES_TP48-TP41,117.00,70878.07,123.00,Fail,ohm,7.71
