Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDGTC032474,,,,,,
Configuration Name,DTU_FCT_RX_RY2,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,23-07-2026_6.59.19 PM,,,,,,
Operator,Charan_13573,,,,,,
DUT,1,,,,,,
Cycle time,497.37,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.54
Power Lines Impedance check,Read RES TP19-TP3,5.00,250.21,Inf,Pass,Kohm,6.78
Power Lines Impedance check,Config DAQ(3),,,,,,1.54
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,48.29,Inf,Pass,Kohm,8.33
Power Lines Impedance check,Config DAQ(5),,,,,,1.54
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,290.90,Inf,Pass,Kohm,8.42
Power Lines Impedance check,Config DAQ(7),,,,,,1.54
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,3.98,Inf,Pass,Kohm,6.92
J9 impedence check,Config DAQ(11),,,,,,1.54
J9 impedence check,Read_RES_TP48-TP41,117.00,121.82,123.00,Pass,ohm,7.71
Power up,Set_14_PS1,,,,,,1.54
Power up,Set_14V_ps_to 3A,,,,,,1.54
Power up,Turn ON +14V & GND Relays,,,,,,1.53
Power up,Turn_on_14VPS,,,,,,0.74
Power up,Config DAQ(18),,,,,,1.54
Power up,Read_VOL_TP66-TP3,2.45,2.69,2.80,Pass,V,10.78
Voltage Measurements,Config DAQ(21),,,,,,1.54
Voltage Measurements,Read_VOL_TP02-TP03,4.90,5.08,5.20,Pass,V,7.71
Voltage Measurements,Config DAQ(19),,,,,,1.54
Voltage Measurements,Read_VOL_TP19-TP3,13.90,14.00,14.10,Pass,V,8.42
Voltage Measurements,Config_DAQ(22),,,,,,1.54
Voltage Measurements,Read_VOL_TP7-TP9,3.70,3.82,3.90,Pass,V,6.92
Voltage Measurements,Config DAQ(23),,,,,,1.54
Voltage Measurements,Read_VOL_TP12-TP13,2.90,3.02,3.10,Pass,V,6.92
MCU Software Flash,Flash Software,,PASS,,Pass,,6.89
MCU Software Flash,Power_CYCLE(1),,,,,,1.53
MCU Software Flash,Off_14V(1),,,,,,1.54
MCU Software Flash,On_Power_cycle(1),,,,,,1.53
MCU Software Flash,On_14V(1),,,,,,5.54
S.No_write and read,Write_Barcode,,,,,,2.64
S.No_write and read,Read_barcode_STATUS,, 62 1,,Pass,,10.54
S.No_write and read,Power14Voff(1),,,,,,2.54
S.No_write and read,Poweron14V(1),,,,,,2.54
S.No_write and read,Send_Request_Barcode,,,,,,1.54
S.No_write and read,Read_barcode_written,,BDDGTC032474_BDDGTC032474_BDDGTC032474,,Pass,,6.77
S.No_write and read,Write RX_RY_check,,,,,,2.54
Pre-Flash Neoway,SET_USB_RELAY,,,,,,1.53
Neoway Flashing,Set Boot Mode,,,,,,5.54
Neoway Flashing,Set_To_Boot_mode,,,,,,5.54
Neoway Flashing,Set_USB_relay_on,,,,,,1.53
Neoway Flashing,Flash Software(1),,success,,Pass,,22.78
Neoway Flashing,Reset_Boot_Mode,,,,,,3.54
Post Neoway Flash,Read_boot_mode_status,, 6F,,Pass,,10.54
Post Neoway Flash,Read_boot_state_again,, 6F 0,,Pass,,1.54
Post Neoway Flash,On_power,,,,,,1.53
Post Neoway Flash,OFF_14V_supply,,,,,,1.54
Post Neoway Flash,ON_14V_again(1),,,,,,10.54
Check N58 Flash,Send_N58_Check_msg,,,,,,10.54
Check N58 Flash,Send_again_n58_flash_msg,,,,,,10.54
Check N58 Flash,Resend_N58_Rest msg,,,,,,2.54
Check N58 Flash,Read-check_ssl,,0,,Pass,,0.74
SSL Certification,Connect USB relays,,,,,,1.53
SSL Certification,Read_Set_SSL,,,,Fail,,234.66
