Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDFTC028721,,,,,,
Configuration Name,DTU_FCT_RX_RY2,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,06-07-2026_12-45-05,,,,,,
Operator,Charan_13573,,,,,,
DUT,1,,,,,,
Cycle time,139.03,,,,,,
Overall Results,Fail,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Power Lines Impedance check,Config DAQ(1),,,,,,1.54
Power Lines Impedance check,Read RES TP19-TP3,5.00,248.24,Inf,Pass,Kohm,6.78
Power Lines Impedance check,Config DAQ(3),,,,,,1.54
Power Lines Impedance check,Read_RES_TP2-TP3,5.00,45.79,Inf,Pass,Kohm,8.28
Power Lines Impedance check,Config DAQ(5),,,,,,1.54
Power Lines Impedance check,Read_RES_TP7-TP9,3.00,282.50,Inf,Pass,Kohm,6.87
Power Lines Impedance check,Config DAQ(7),,,,,,1.54
Power Lines Impedance check,Read_RES_TP12-TP3,3.00,4.03,Inf,Pass,Kohm,6.92
J9 impedence check,Config DAQ(11),,,,,,1.58
J9 impedence check,Read_RES_TP48-TP41,117.00,121.81,123.00,Pass,ohm,7.17
Power up,Set_14_PS1,,,,,,1.54
Power up,Set_14V_ps_to 3A,,,,,,1.54
Power up,Turn ON +14V & GND Relays,,,,,,1.53
Power up,Turn_on_14VPS,,,,,,0.74
Power up,Config DAQ(18),,,,,,1.54
Power up,Read_VOL_TP66-TP3,2.45,2.71,2.80,Pass,V,6.78
Voltage Measurements,Config DAQ(21),,,,,,1.54
Voltage Measurements,Read_VOL_TP02-TP03,4.90,5.09,5.20,Pass,V,7.03
Voltage Measurements,Config DAQ(19),,,,,,1.54
Voltage Measurements,Read_VOL_TP19-TP3,13.90,14.00,14.10,Pass,V,6.63
Voltage Measurements,Config_DAQ(22),,,,,,1.54
Voltage Measurements,Read_VOL_TP7-TP9,3.70,3.84,3.90,Pass,V,6.89
Voltage Measurements,Config DAQ(23),,,,,,1.54
Voltage Measurements,Read_VOL_TP12-TP13,2.90,3.02,3.10,Pass,V,6.92
MCU Software Flash,Flash Software,,PASS,,Pass,,6.80
MCU Software Flash,Power_CYCLE(1),,,,,,1.53
MCU Software Flash,Off_14V(1),,,,,,1.54
MCU Software Flash,On_Power_cycle(1),,,,,,1.53
MCU Software Flash,On_14V(1),,,,,,5.54
S.No_write and read,Write_Barcode,,,,,,2.68
S.No_write and read,Read_barcode_STATUS,, 62 1,,Pass,,10.54
S.No_write and read,Power14Voff(1),,,,,,2.54
S.No_write and read,Poweron14V(1),,,,,,2.54
S.No_write and read,Send_Request_Barcode,,,,,,1.54
S.No_write and read,Read_barcode_written,,BDDFTC028721_BDDFTC028721_BDDFTC028721,,Fail,,6.57
